,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Reggie Lewis,26,82,82,37.4,8.6,17.0,.503,0.1,0.3,.238,8.5,16.8,.507,.505,3.6,4.2,.851,1.4,3.4,4.8,2.3,1.5,1.3,1.7,3.1,20.8
1,Larry Bird,35,45,45,36.9,7.8,16.8,.466,1.2,2.8,.406,6.7,14.0,.478,.500,3.3,3.6,.926,1.0,8.6,9.6,6.8,0.9,0.7,2.8,1.8,20.2
2,Kevin Gamble,26,82,77,30.4,5.9,11.1,.529,0.1,0.4,.290,5.7,10.7,.537,.534,1.7,1.9,.885,1.0,2.5,3.5,2.7,0.9,0.5,1.2,2.4,13.5
3,Robert Parish,38,79,79,28.9,5.9,11.1,.535,0.0,0.0,,5.9,11.1,.535,.535,2.3,2.9,.772,2.8,6.2,8.9,0.9,0.9,1.2,1.7,2.2,14.1
4,Dee Brown,23,31,20,28.5,4.8,11.3,.426,0.2,0.7,.227,4.6,10.6,.439,.433,1.9,2.5,.769,0.5,2.1,2.5,5.3,1.1,0.2,1.9,2.4,11.7
5,Brian Shaw,25,17,3,25.6,4.1,9.6,.427,0.0,0.4,.000,4.1,9.2,.446,.427,2.1,2.4,.875,0.6,3.4,4.1,5.2,0.7,0.6,1.9,1.7,10.3
6,Kevin McHale,34,56,1,25.0,5.8,11.3,.509,0.0,0.2,.000,5.8,11.1,.520,.509,2.4,2.9,.822,2.1,3.8,5.9,1.5,0.2,1.1,1.5,2.0,13.9
7,John Bagley,31,73,59,23.9,3.1,6.9,.441,0.1,0.6,.238,2.9,6.4,.459,.451,0.9,1.3,.716,0.5,1.7,2.2,6.6,0.8,0.1,2.0,1.7,7.2
8,Ed Pinckney,28,81,36,23.7,2.5,4.7,.537,0.0,0.0,.000,2.5,4.7,.538,.537,2.6,3.1,.812,3.1,3.9,7.0,0.8,0.9,0.7,0.9,2.0,7.6
9,Rick Fox,22,81,5,19.0,3.0,6.5,.459,0.3,0.9,.329,2.7,5.6,.479,.481,1.7,2.3,.755,0.9,1.8,2.7,1.6,1.0,0.4,1.5,2.8,8.0
10,Sherman Douglas,25,37,0,17.7,2.7,6.0,.455,0.0,0.2,.111,2.7,5.8,.469,.457,1.8,2.7,.680,0.3,1.2,1.5,4.1,0.6,0.2,1.6,1.8,7.3
11,Joe Kleine,30,70,3,14.2,2.1,4.2,.491,0.1,0.1,.500,2.0,4.1,.491,.498,0.5,0.7,.708,1.3,2.9,4.2,0.5,0.3,0.2,0.4,1.4,4.7
12,Rickey Green,37,26,0,14.1,1.8,4.0,.447,0.0,0.2,.250,1.7,3.8,.455,.451,0.5,0.7,.722,0.1,0.8,0.9,2.6,0.7,0.0,0.7,1.1,4.1
13,Kevin Pritchard,24,11,0,12.4,1.5,3.1,.471,0.0,0.3,.000,1.5,2.8,.516,.471,1.3,1.6,.778,0.1,0.9,1.0,2.7,0.3,0.4,1.0,1.5,4.2
14,Tony Massenburg,24,7,0,6.6,0.6,1.3,.444,0.0,0.0,,0.6,1.3,.444,.444,0.3,0.6,.500,0.3,1.0,1.3,0.0,0.0,0.1,0.3,1.0,1.4
15,Larry Robinson,24,1,0,6.0,1.0,5.0,.200,0.0,0.0,,1.0,5.0,.200,.200,0.0,0.0,,2.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,2.0
16,Stojko Vranković,28,19,0,5.8,0.8,1.7,.469,0.0,0.0,,0.8,1.7,.469,.469,0.4,0.6,.583,0.4,1.1,1.5,0.3,0.0,0.9,0.5,1.2,1.9
17,Kenny Battle,27,8,0,5.8,0.4,0.5,.750,0.0,0.0,,0.4,0.5,.750,.750,1.0,1.0,1.000,0.4,0.8,1.1,0.0,0.1,0.0,0.3,0.5,1.8
