,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,DeMar DeRozan,34,32,32,36.7,7.8,17.0,.455,0.9,2.6,.345,6.8,14.4,.475,.482,6.0,7.1,.838,0.7,3.2,3.8,5.4,1.1,0.8,1.4,2.2,22.4
1,Zach LaVine,28,18,18,35.3,7.3,16.6,.443,2.4,7.1,.336,4.9,9.4,.524,.515,3.9,4.6,.866,0.3,4.6,4.9,3.4,0.9,0.2,2.0,2.1,21.0
2,Coby White,23,34,34,35.0,6.3,14.3,.442,2.9,7.3,.391,3.5,7.0,.496,.542,2.2,2.6,.822,0.5,3.8,4.3,4.8,0.7,0.2,2.0,2.5,17.7
3,Nikola Vučević,33,31,31,34.0,7.0,15.5,.452,1.1,3.9,.281,5.9,11.6,.510,.488,1.6,1.8,.875,2.7,7.6,10.4,3.4,0.8,0.7,1.7,2.6,16.7
4,Patrick Williams,22,34,24,27.9,3.9,8.4,.460,1.4,3.3,.407,2.5,5.1,.494,.540,1.3,1.6,.768,1.1,2.9,4.1,1.5,0.9,0.9,1.1,1.9,10.4
5,Alex Caruso,29,28,16,24.2,3.5,6.7,.529,1.6,3.6,.455,1.9,3.1,.616,.652,1.3,1.6,.778,1.1,2.4,3.5,2.5,1.2,0.8,1.4,2.3,10.0
6,Ayo Dosunmu,24,32,5,22.1,3.0,6.5,.469,0.9,2.8,.337,2.1,3.7,.568,.541,0.8,1.1,.735,0.8,1.7,2.4,1.9,0.8,0.3,0.8,1.8,7.8
7,Torrey Craig,33,27,7,21.2,2.2,5.1,.424,1.1,2.8,.382,1.1,2.3,.476,.529,0.7,0.9,.783,1.9,3.0,4.8,1.0,0.6,0.4,0.6,2.5,6.1
8,Andre Drummond,30,34,3,14.9,2.8,5.2,.540,0.0,0.0,.000,2.8,5.1,.543,.540,1.4,2.6,.563,3.1,4.9,8.1,0.6,1.2,0.5,1.1,1.9,7.0
9,Jevon Carter,28,34,0,14.4,2.0,5.4,.362,1.2,3.5,.342,0.8,1.9,.400,.473,0.1,0.1,.600,0.1,0.6,0.7,1.2,0.5,0.3,0.6,1.2,5.2
10,Dalen Terry,21,18,0,9.4,0.7,1.7,.400,0.2,0.9,.176,0.5,0.7,.692,.450,0.4,0.6,.700,0.3,1.2,1.5,0.9,0.2,0.3,0.4,0.9,1.9
11,Terry Taylor,24,11,0,5.0,0.7,0.8,.889,0.0,0.1,.000,0.7,0.7,1.000,.889,0.0,0.0,,0.5,0.4,0.9,0.2,0.2,0.0,0.1,0.5,1.5
12,Julian Phillips,20,19,0,4.0,0.3,0.9,.278,0.0,0.5,.000,0.3,0.5,.556,.278,0.1,0.2,.250,0.1,0.4,0.5,0.3,0.1,0.0,0.1,0.5,0.6
13,Onuralp Bitim,24,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Adama Sanogo,21,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
