,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Magic Johnson,30,79,79,37.2,6.9,14.4,.480,1.3,3.5,.384,5.6,10.9,.510,.526,7.2,8.1,.890,1.6,5.0,6.6,11.5,1.7,0.4,3.7,2.1,22.3
1,James Worthy,28,80,80,37.0,8.9,16.2,.548,0.2,0.6,.306,8.7,15.6,.557,.554,3.1,4.0,.782,2.0,4.0,6.0,3.6,1.2,0.6,2.0,2.4,21.1
2,Byron Scott,28,77,77,33.7,6.1,13.1,.470,1.2,2.9,.423,4.9,10.2,.483,.516,2.1,2.7,.766,0.7,2.5,3.1,3.6,1.0,0.4,1.6,2.3,15.5
3,A.C. Green,26,82,82,33.0,4.7,9.8,.478,0.2,0.6,.283,4.5,9.3,.489,.486,3.4,4.5,.751,3.2,5.5,8.7,1.1,0.8,0.6,1.4,2.5,12.9
4,Mychal Thompson,35,70,70,26.9,4.0,8.0,.500,0.0,0.0,,4.0,8.0,.500,.500,2.1,2.9,.706,2.5,4.3,6.8,0.6,0.5,1.0,1.1,3.0,10.1
5,Michael Cooper,33,80,10,23.1,2.4,6.2,.387,0.6,2.0,.318,1.8,4.2,.420,.438,1.0,1.2,.883,0.7,2.1,2.8,2.7,0.8,0.5,1.1,2.6,6.4
6,Orlando Woolridge,30,62,2,22.9,4.9,8.9,.556,0.0,0.1,.000,4.9,8.8,.561,.556,2.8,3.9,.733,0.8,2.2,3.0,1.5,0.6,0.7,1.2,2.6,12.7
7,Vlade Divac,21,82,5,19.6,3.3,6.7,.499,0.0,0.1,.000,3.3,6.6,.504,.499,1.9,2.6,.708,2.0,4.2,6.2,0.9,1.0,1.4,1.3,2.9,8.5
8,Larry Drew,31,80,3,16.7,2.1,4.8,.444,0.4,1.0,.395,1.7,3.8,.457,.486,0.6,0.8,.767,0.2,1.1,1.2,2.7,0.6,0.1,1.2,1.2,5.2
9,Jay Vincent,30,24,1,8.3,1.7,3.3,.526,0.0,0.0,.000,1.7,3.2,.532,.526,0.3,0.5,.667,0.3,0.8,1.1,0.4,0.3,0.1,0.8,1.2,3.8
10,Mark McNamara,30,33,1,5.8,1.2,2.6,.442,0.0,0.0,,1.2,2.6,.442,.442,0.8,1.2,.650,0.7,1.2,1.9,0.1,0.1,0.0,0.6,0.9,3.1
11,Mel McCants,22,13,0,5.0,0.6,2.0,.308,0.0,0.0,,0.6,2.0,.308,.308,0.5,0.6,.750,0.1,0.4,0.5,0.2,0.2,0.1,0.1,0.8,1.7
12,Steve Bucknall,23,18,0,4.2,0.5,1.8,.273,0.0,0.1,.000,0.5,1.8,.281,.273,0.3,0.3,.833,0.3,0.1,0.4,0.6,0.1,0.1,0.6,0.6,1.3
13,Mike Higgins,22,6,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.2,0.3,.500,0.2,0.0,0.2,0.2,0.2,0.3,0.0,0.7,0.2
14,Jawann Oldham,32,3,0,3.0,0.7,1.0,.667,0.0,0.0,,0.7,1.0,.667,.667,0.3,0.7,.500,0.0,0.3,0.3,0.3,0.0,0.0,0.3,1.0,1.7
