,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Anthony Davis,30,32,32,35.6,9.5,17.2,.551,0.4,1.0,.375,9.1,16.2,.562,.562,5.7,7.1,.806,3.3,9.0,12.3,3.3,1.2,2.6,2.0,2.6,25.0
1,LeBron James,39,31,31,34.2,9.4,17.6,.535,2.3,5.5,.409,7.2,12.1,.592,.599,4.3,5.8,.749,0.9,6.5,7.4,7.4,1.4,0.7,3.3,1.1,25.4
2,Taurean Prince,29,32,32,30.9,3.6,8.3,.436,2.2,5.5,.401,1.4,2.8,.506,.570,0.6,0.8,.760,0.3,2.6,2.8,1.8,0.9,0.5,1.0,2.3,10.1
3,Austin Reaves,25,34,9,29.4,5.2,11.0,.477,1.6,4.6,.357,3.6,6.4,.565,.552,2.9,3.4,.877,1.0,3.5,4.4,4.9,0.9,0.1,2.3,1.6,15.1
4,D'Angelo Russell,27,32,28,29.1,5.6,12.0,.466,2.0,5.2,.388,3.6,6.8,.525,.549,1.6,2.1,.773,0.3,2.7,2.9,6.1,0.8,0.5,1.8,2.0,14.8
5,Gabe Vincent,27,5,0,25.4,2.4,6.4,.375,0.4,3.4,.118,2.0,3.0,.667,.406,0.2,0.4,.500,0.4,0.6,1.0,3.0,1.2,0.0,0.4,2.4,5.4
6,Cam Reddish,24,27,20,24.6,2.4,6.2,.393,0.8,2.7,.297,1.6,3.5,.468,.458,1.2,1.4,.868,0.6,2.0,2.7,1.6,1.3,0.3,0.7,1.7,6.9
7,Rui Hachimura,25,25,5,23.5,4.5,9.2,.485,1.1,3.0,.368,3.4,6.2,.542,.545,1.5,2.0,.760,0.8,2.8,3.6,1.1,0.7,0.2,0.8,1.4,11.6
8,Christian Wood,28,29,1,19.0,2.4,5.1,.466,0.8,2.4,.329,1.6,2.7,.590,.544,1.2,2.0,.614,0.8,4.6,5.4,1.0,0.2,0.6,1.2,1.5,6.8
9,Jarred Vanderbilt,24,13,5,17.8,1.2,3.4,.341,0.1,1.1,.071,1.1,2.3,.467,.352,0.2,0.3,.750,1.2,2.8,4.1,0.8,0.7,0.2,0.3,1.9,2.6
10,Max Christie,20,24,6,17.3,1.8,4.5,.389,0.7,2.2,.308,1.1,2.3,.464,.463,0.5,0.7,.750,0.2,2.7,2.8,1.0,0.5,0.3,0.8,1.4,4.7
11,Jaxson Hayes,23,30,1,10.5,1.3,1.9,.655,0.0,0.1,.000,1.3,1.8,.704,.655,0.5,0.9,.536,0.5,1.4,1.9,0.3,0.2,0.3,0.5,1.8,3.0
12,Jalen Hood-Schifino,20,7,0,9.0,0.9,3.4,.250,0.1,1.3,.111,0.7,2.1,.333,.271,0.7,1.4,.500,0.1,0.7,0.9,0.7,0.3,0.1,0.7,1.1,2.6
13,Colin Castleton,23,4,0,7.0,1.3,2.0,.625,0.0,0.0,,1.3,2.0,.625,.625,0.5,0.5,1.000,0.8,1.0,1.8,0.8,0.0,0.0,0.0,1.3,3.0
14,D'Moi Hodge,25,7,0,5.9,0.7,2.1,.333,0.4,1.7,.250,0.3,0.4,.667,.433,0.1,0.3,.500,0.0,0.0,0.0,0.7,0.1,0.1,0.1,0.6,2.0
15,Maxwell Lewis,21,12,0,4.4,0.1,0.8,.111,0.1,0.3,.333,0.0,0.5,.000,.167,0.0,0.0,,0.1,0.2,0.3,0.3,0.2,0.0,0.4,0.2,0.3
16,Alex Fudge,20,4,0,3.5,0.3,1.5,.167,0.0,0.5,.000,0.3,1.0,.250,.167,0.5,0.5,1.000,0.5,0.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0
