,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Sean Elliott,28,39,39,35.7,5.0,11.9,.422,1.1,3.2,.333,3.9,8.7,.456,.468,3.8,5.0,.755,1.2,3.6,4.9,3.2,0.6,0.6,2.3,2.7,14.9
1,Avery Johnson,31,76,76,32.5,4.3,9.0,.477,0.1,0.3,.231,4.2,8.7,.487,.482,1.8,2.7,.690,0.4,1.5,1.9,6.8,1.3,0.2,1.9,2.1,10.5
2,Vinny Del Negro,30,72,53,31.2,5.1,10.8,.467,0.6,1.9,.314,4.5,8.9,.501,.496,1.6,1.8,.868,0.5,2.4,2.9,3.2,0.8,0.1,1.3,1.8,12.3
3,Dominique Wilkins,37,63,26,30.9,6.3,15.1,.417,1.1,3.8,.293,5.2,11.3,.458,.453,4.5,5.6,.803,2.7,3.7,6.4,1.9,0.6,0.5,2.1,1.6,18.2
4,Will Perdue,31,65,34,29.5,3.6,6.3,.568,0.0,0.0,,3.6,6.3,.568,.568,1.5,2.6,.579,3.9,6.0,9.8,0.6,0.5,1.6,1.3,2.8,8.7
5,Vernon Maxwell,31,72,31,28.7,4.7,12.6,.375,1.6,5.2,.309,3.1,7.4,.421,.439,1.9,2.5,.744,0.4,1.8,2.2,2.1,1.2,0.3,1.7,2.3,12.9
6,David Robinson,31,6,6,24.5,6.0,12.0,.500,0.0,0.0,,6.0,12.0,.500,.500,5.7,8.7,.654,3.2,5.3,8.5,1.3,1.0,1.0,1.3,1.5,17.7
7,Carl Herrera,30,75,58,24.5,3.4,7.9,.433,0.0,0.1,.333,3.4,7.8,.434,.435,1.1,1.6,.686,1.6,3.0,4.5,0.7,0.8,0.7,1.3,2.9,8.0
8,Monty Williams,25,65,26,20.7,3.6,7.1,.509,0.0,0.0,.000,3.6,7.1,.510,.509,1.8,2.9,.645,1.5,1.7,3.2,1.4,0.8,0.8,1.8,2.5,9.0
9,Greg Anderson,32,82,48,20.2,1.6,3.2,.496,0.0,0.0,.000,1.6,3.2,.498,.496,0.8,1.1,.667,1.9,3.5,5.5,0.4,0.8,0.8,0.9,2.7,3.9
10,Cory Alexander,23,80,6,18.2,2.4,6.1,.396,1.2,3.2,.373,1.3,3.0,.420,.492,1.2,1.6,.736,0.4,1.2,1.5,3.2,1.0,0.2,1.8,1.9,7.2
11,Charles Smith,31,19,7,17.3,1.8,4.4,.405,0.0,0.1,.000,1.8,4.4,.410,.405,1.1,1.4,.769,0.9,2.5,3.4,0.7,0.7,1.2,1.2,2.3,4.6
12,Jamie Feick,22,38,0,16.2,1.4,4.0,.353,0.1,0.3,.308,1.3,3.7,.357,.366,0.9,1.7,.523,2.1,3.4,5.6,0.7,0.4,0.3,0.8,2.0,3.8
13,Gaylon Nickerson,27,3,0,12.0,1.0,3.0,.333,0.0,0.3,.000,1.0,2.7,.375,.333,2.3,2.3,1.000,0.3,1.0,1.3,0.3,0.0,0.3,0.0,0.3,4.3
14,Jason Sasser,23,6,0,10.3,1.3,3.2,.421,0.2,0.3,.500,1.2,2.8,.412,.447,0.0,0.0,,0.0,1.2,1.2,0.2,0.3,0.0,0.3,1.8,2.8
15,Stephen Howard,26,7,0,9.9,1.0,1.7,.583,0.0,0.0,,1.0,1.7,.583,.583,1.7,2.0,.857,0.6,0.7,1.3,0.1,1.1,0.3,0.7,1.0,3.7
16,Joe Courtney,27,5,0,9.6,1.0,3.2,.313,0.0,0.0,,1.0,3.2,.313,.313,0.6,1.0,.600,0.8,0.6,1.4,0.0,0.0,0.0,0.4,1.2,2.6
17,Darrin Hancock,25,1,0,8.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,2.0,2.0,1.000,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0
18,Devin Gray,24,3,0,8.0,1.7,5.0,.333,0.0,0.0,,1.7,5.0,.333,.333,0.0,0.3,.000,1.0,0.7,1.7,0.0,0.3,0.0,1.7,2.7,3.3
19,Tim Kempton,33,10,0,5.9,0.1,0.5,.200,0.0,0.0,,0.1,0.5,.200,.200,0.2,0.2,1.000,0.3,0.5,0.8,0.2,0.1,0.1,0.7,0.4,0.4
