,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Larry Bird,27,79,77,38.3,9.6,19.5,.492,0.2,0.9,.247,9.4,.504,.504,.497,4.7,5.3,.888,2.3,7.8,10.1,6.6,1.8,0.9,3.0,2.5,24.2
1,Robert Parish,30,80,79,35.8,7.8,14.3,.546,0.0,0.0,,7.8,.546,.546,.546,3.4,4.6,.745,3.0,7.7,10.7,1.7,0.7,1.5,2.3,3.3,19.0
2,Dennis Johnson,29,80,78,33.3,4.8,11.0,.437,0.1,0.4,.125,4.8,.449,.449,.440,3.5,4.1,.852,1.1,2.4,3.5,4.2,1.2,0.7,2.2,3.1,13.2
3,Kevin McHale,26,82,10,31.4,7.2,12.9,.556,0.0,0.0,.333,7.1,.557,.557,.557,4.1,5.4,.765,2.5,4.9,7.4,1.3,0.3,1.5,1.8,3.0,18.4
4,Cedric Maxwell,28,80,78,31.3,4.0,7.5,.532,0.0,0.1,.167,4.0,.536,.536,.533,4.0,5.3,.753,2.5,3.3,5.8,2.6,0.8,0.3,2.5,2.8,11.9
5,Gerald Henderson,28,78,78,26.8,4.8,9.2,.524,0.3,0.7,.351,4.6,.539,.539,.538,1.7,2.3,.768,0.9,1.0,1.9,3.8,1.5,0.2,2.1,2.7,11.6
6,Danny Ainge,24,71,3,16.3,2.3,5.1,.460,0.1,0.3,.273,2.3,.472,.472,.468,0.6,0.8,.821,0.4,1.2,1.6,2.3,0.6,0.1,1.0,2.0,5.4
7,Quinn Buckner,29,79,0,15.8,1.7,4.1,.427,0.0,0.1,.000,1.7,.435,.435,.427,0.6,0.9,.649,0.5,1.2,1.7,2.7,1.1,0.0,1.3,2.4,4.1
8,Scott Wedman,31,68,5,13.5,2.2,4.9,.444,0.0,0.2,.154,2.1,.456,.456,.447,0.4,0.5,.829,0.6,1.4,2.0,1.0,0.4,0.1,0.6,1.6,4.8
9,M.L. Carr,33,60,1,9.8,1.2,2.9,.409,0.1,0.3,.200,1.1,.429,.429,.418,0.7,0.8,.875,0.4,0.8,1.3,0.8,0.3,0.1,0.8,1.1,3.1
10,Greg Kite,22,35,1,5.6,0.9,1.9,.455,0.0,0.0,,0.9,.455,.455,.455,0.1,0.5,.313,0.8,1.0,1.8,0.2,0.0,0.1,0.6,1.2,1.9
11,Carlos Clark,23,31,0,4.1,0.6,1.7,.365,0.0,0.1,.000,0.6,.380,.380,.365,0.5,0.6,.889,0.2,0.3,0.5,0.5,0.3,0.0,0.4,0.4,1.7
0,Moses Malone,28,71,71,36.8,7.5,15.5,.483,0.0,0.1,.000,7.5,.485,.485,.483,7.7,10.2,.750,5.0,8.4,13.4,1.4,1.0,1.5,3.5,2.6,22.7
1,Julius Erving,33,77,77,34.8,8.8,17.2,.512,0.1,0.3,.333,8.7,.515,.515,.515,4.7,6.3,.754,2.5,4.4,6.9,4.0,1.8,1.8,3.0,2.8,22.4
2,Maurice Cheeks,27,75,75,33.3,5.1,9.4,.550,0.1,0.3,.400,5.0,.554,.554,.556,2.3,3.1,.733,0.6,2.1,2.7,6.4,2.3,0.3,2.4,2.6,12.7
3,Andrew Toney,26,78,72,32.8,7.6,14.4,.527,0.2,0.5,.316,7.4,.534,.534,.532,5.0,6.0,.839,0.7,1.7,2.5,4.8,0.9,0.3,3.8,3.2,20.4
4,Bobby Jones,32,75,0,23.5,3.0,5.8,.523,0.0,0.0,.000,3.0,.524,.524,.523,2.2,2.8,.784,1.2,3.1,4.3,2.5,1.4,1.4,1.3,2.7,8.3
5,Clint Richardson,27,69,12,22.8,3.2,6.9,.467,0.0,0.1,.000,3.2,.471,.471,.467,1.1,1.5,.767,0.9,1.5,2.4,2.2,0.7,0.3,1.4,2.1,7.6
6,Clemon Johnson,27,80,10,21.5,2.4,5.2,.468,0.0,0.0,,2.4,.468,.468,.468,0.9,1.4,.611,1.6,3.3,5.0,0.7,0.4,0.8,1.2,2.6,5.7
7,Wes Matthews,24,14,5,20.9,3.2,7.2,.446,0.1,0.5,.143,3.1,.468,.468,.450,0.6,1.0,.643,0.4,1.2,1.6,4.4,0.8,0.1,2.1,2.3,7.1
8,Marc Iavaroni,27,78,71,19.6,1.9,4.1,.463,0.0,0.0,.000,1.9,.466,.466,.463,1.2,1.7,.740,1.2,2.8,4.0,1.2,0.5,0.7,1.6,2.8,5.1
9,Sam Williams,24,70,12,19.6,2.8,5.8,.477,0.0,0.0,.000,2.8,.478,.478,.477,1.2,1.9,.647,1.7,3.0,4.7,0.9,0.9,1.5,1.4,2.9,6.7
10,Bruce Kuczenski,22,3,2,13.3,0.3,2.7,.125,0.0,0.0,,0.3,.125,.125,.125,0.3,0.7,.500,0.3,1.7,2.0,0.7,0.3,0.3,1.7,2.3,1.0
11,Franklin Edwards,24,60,0,10.9,1.4,3.7,.380,0.0,0.0,.000,1.4,.382,.382,.380,0.6,0.8,.708,0.2,0.8,1.0,1.5,0.5,0.1,0.8,1.3,3.4
