,index,Player,Pos,Age,Tm,Height,Weight,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,145,A.C. Green,PF,35,DAL,205.7,99.9,50,35,18.5,2.2,5.1,.422,0.0,0.2,.000,2.2,5.0,.435,.422,0.6,1.0,.577,1.6,2.9,4.6,0.5,0.6,0.2,0.4,1.4,4.9
1,250,Aaron McKie,SG,26,PHI,195.6,94.9,50,4,19.2,1.9,4.7,.401,0.1,0.6,.194,1.8,4.1,.432,.414,0.9,1.2,.710,0.5,2.3,2.8,2.0,1.3,0.1,1.1,1.8,4.8
2,417,Aaron Williams,PF,27,SEA,205.7,99.9,40,2,11.5,1.3,3.1,.423,0.0,0.0,.000,1.3,3.1,.426,.423,1.4,1.9,.730,1.4,1.9,3.2,0.6,0.4,0.6,0.8,1.9,4.0
3,197,Adam Keefe,PF,28,UTA,205.7,104.4,44,0,14.6,1.3,2.8,.452,0.0,0.1,.000,1.3,2.7,.467,.452,1.4,2.0,.697,1.2,2.1,3.2,0.6,0.4,0.3,0.8,1.4,4.0
4,127,Adonal Foyle,C,23,GSW,208.3,113.5,44,0,14.0,1.2,2.8,.430,0.0,0.0,,1.2,2.8,.430,.430,0.6,1.2,.490,1.8,2.6,4.4,0.4,0.3,1.0,0.7,2.0,2.9
5,195,Adonis Jordan,PG,28,MIL,180.3,77.2,4,0,4.5,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.5,1.0,.500,0.0,0.0,0.0,0.8,0.8,0.0,0.5,0.0,1.5
6,154,Al Harrington,PF,18,IND,205.7,111.2,21,0,7.6,0.9,2.7,.321,0.0,0.2,.000,0.9,2.4,.353,.321,0.4,0.7,.600,1.0,0.9,1.9,0.2,0.2,0.1,0.5,1.2,2.1
7,159,Alan Henderson,SF,26,ATL,205.7,106.7,38,37,30.1,4.9,11.1,.442,0.0,0.0,.000,4.9,11.1,.443,.442,2.6,3.9,.671,2.6,3.9,6.6,0.7,0.9,0.5,1.5,2.5,12.5
8,171,Allan Houston,SG,27,NYK,198.1,93.1,50,50,36.3,5.9,14.1,.418,1.1,2.8,.407,4.7,11.3,.421,.459,3.4,3.9,.862,0.4,2.6,3.0,2.7,0.7,0.2,2.6,2.3,16.3
9,177,Allen Iverson,SG,23,PHI,182.9,74.9,48,48,41.5,9.1,22.0,.412,1.2,4.1,.291,7.9,17.9,.440,.439,7.4,9.9,.751,1.4,3.5,4.9,4.6,2.3,0.1,3.5,2.0,26.8
10,268,Alonzo Mourning,C,28,MIA,208.3,109.0,46,46,38.1,7.0,13.8,.511,0.0,0.0,.000,7.0,13.7,.513,.511,6.0,9.2,.652,3.6,7.4,11.0,1.6,0.7,3.9,3.0,3.5,20.1
11,355,Alvin Sims,SG,24,PHO,193.0,106.7,4,0,6.3,1.0,2.5,.400,0.3,0.3,1.000,0.8,2.3,.333,.450,0.5,1.3,.400,0.8,0.3,1.0,1.3,0.5,0.0,1.5,0.5,2.8
12,418,Alvin Williams,PG,24,TOR,195.6,84.0,50,45,21.0,1.9,4.7,.401,0.3,0.8,.333,1.6,3.9,.415,.430,0.9,1.0,.846,0.4,1.3,1.6,2.6,1.0,0.2,1.1,1.9,5.0
13,297,Andrae Patterson,PF,23,MIN,205.7,115.8,35,0,8.1,1.2,2.8,.443,0.0,0.1,.000,1.2,2.6,.467,.443,0.8,1.0,.778,0.9,1.0,1.9,0.4,0.5,0.2,0.6,1.8,3.3
14,98,Andrew DeClercq,C,25,TOT,208.3,104.4,47,32,23.4,2.9,5.9,.500,0.0,0.0,,2.9,5.9,.500,.500,2.0,3.0,.674,2.2,3.2,5.4,0.7,1.1,0.6,1.1,3.4,7.9
15,135,Andrew Gaze,SG,33,SAS,200.7,96.2,19,0,3.1,0.4,1.3,.320,0.3,0.8,.313,0.2,0.5,.333,.420,0.0,0.0,,0.1,0.2,0.3,0.3,0.1,0.1,0.2,0.4,1.1
16,213,Andrew Lang,C,32,CHI,210.8,111.2,21,13,18.4,1.5,4.7,.323,0.0,0.0,,1.5,4.7,.323,.323,0.8,1.1,.696,1.6,2.9,4.4,0.6,0.2,0.6,0.8,2.0,3.8
17,149,Anfernee Hardaway,SG,27,ORL,200.7,88.5,50,50,38.9,6.0,14.3,.420,0.8,2.8,.286,5.2,11.5,.452,.448,3.0,4.2,.706,1.5,4.2,5.7,5.3,2.2,0.5,3.0,2.2,15.8
18,185,Antawn Jamison,SF,22,GSW,205.7,106.7,47,24,22.5,3.8,8.4,.452,0.1,0.2,.300,3.7,8.2,.456,.456,1.9,3.3,.588,2.8,3.6,6.4,0.7,0.8,0.3,1.4,2.2,9.6
19,16,Anthony Avent,PF,29,UTA,205.7,106.7,5,0,8.8,0.8,2.6,.308,0.0,0.0,,0.8,2.6,.308,.308,0.2,0.4,.500,1.6,0.8,2.4,0.2,0.4,0.0,1.4,1.2,1.8
20,186,Anthony Johnson,PG,24,ATL,190.5,88.5,49,2,18.1,1.9,4.6,.404,0.1,0.4,.263,1.8,4.2,.417,.416,1.2,1.7,.695,0.3,1.2,1.5,2.2,0.7,0.1,1.3,1.4,5.0
21,255,Anthony Miller,PF,27,HOU,205.7,102.2,29,0,8.6,1.0,2.1,.467,0.0,0.0,.000,1.0,2.0,.475,.467,0.5,0.8,.636,0.9,1.4,2.3,0.2,0.2,0.2,0.3,1.2,2.4
22,295,Anthony Parker,SG,23,PHI,198.1,97.6,2,0,1.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,300,Anthony Peeler,SG,29,MIN,193.0,94.4,28,28,28.9,3.7,9.7,.379,1.2,4.1,.298,2.5,5.6,.437,.441,1.1,1.5,.732,1.1,1.9,3.0,2.8,1.3,0.2,1.4,2.1,9.6
24,59,Antoine Carr,PF,37,HOU,205.7,102.2,18,0,8.4,1.2,2.9,.404,0.0,0.1,.000,1.2,2.8,.412,.404,0.3,0.4,.714,0.5,1.2,1.7,0.5,0.1,0.6,0.5,1.7,2.6
25,395,Antoine Walker,PF,22,BOS,205.7,120.3,42,41,36.9,7.2,17.5,.412,1.5,4.2,.369,5.7,13.3,.426,.456,2.7,4.8,.559,2.5,6.0,8.5,3.1,1.5,0.7,2.8,3.4,18.7
26,89,Antonio Daniels,PG,23,SAS,193.0,88.5,47,0,13.1,1.8,3.9,.454,0.1,0.4,.294,1.7,3.5,.470,.467,1.0,1.4,.754,0.3,0.9,1.1,2.3,0.6,0.1,0.9,0.8,4.7
27,91,Antonio Davis,PF,30,IND,205.7,111.2,49,1,25.9,3.3,7.1,.471,0.0,0.0,,3.3,7.1,.471,.471,2.8,3.9,.703,2.4,4.7,7.0,0.7,0.4,0.9,1.0,2.8,9.4
28,214,Antonio Lang,PF,26,CLE,203.2,93.1,10,0,6.5,0.4,0.6,.667,0.0,0.0,,0.4,0.6,.667,.667,0.5,0.9,.556,0.6,1.0,1.6,0.1,0.2,0.1,0.4,1.3,1.3
29,245,Antonio McDyess,C,24,DEN,205.7,111.2,50,50,38.7,8.3,17.6,.471,0.0,0.2,.111,8.3,17.5,.474,.471,4.6,6.8,.680,3.4,7.4,10.7,1.6,1.5,2.3,2.8,3.5,21.2
30,138,Armen Gilliam,PF,34,MIL,205.7,104.4,34,5,19.6,3.0,6.6,.453,0.0,0.0,.000,3.0,6.5,.455,.453,2.3,3.0,.782,1.0,2.7,3.7,0.6,0.6,0.4,1.1,1.4,8.3
31,341,Arvydas Sabonis,C,34,POR,221.0,126.7,50,48,27.0,4.6,9.6,.485,0.1,0.5,.292,4.5,9.1,.496,.493,2.7,3.5,.771,1.8,6.1,7.9,2.4,0.7,1.3,1.7,2.9,12.1
32,81,Austin Croshere,PF,23,IND,205.7,106.7,27,0,9.2,1.2,2.8,.427,0.3,1.1,.276,0.9,1.7,.522,.480,0.7,0.9,.870,0.6,1.1,1.7,0.4,0.3,0.3,0.9,1.2,3.4
33,187,Avery Johnson,PG,33,SAS,177.8,79.5,50,50,33.4,4.4,9.2,.473,0.0,0.2,.083,4.3,9.0,.483,.474,1.0,1.8,.568,0.4,1.9,2.4,7.4,1.0,0.2,2.2,2.0,9.7
34,11,B.J. Armstrong,PG,31,TOT,188.0,79.5,32,1,11.2,1.3,2.8,.455,0.2,0.5,.467,1.0,2.3,.452,.494,0.6,0.7,.857,0.1,1.2,1.2,1.9,0.4,0.0,0.8,1.0,3.3
35,92,Ben Davis,PF,26,NYK,205.7,109.0,8,0,2.6,0.9,2.1,.412,0.0,0.0,,0.9,2.1,.412,.412,0.4,0.8,.500,1.1,0.3,1.4,0.4,0.0,0.0,0.1,0.5,2.1
36,397,Ben Wallace,C,24,WAS,205.7,109.0,46,16,26.8,2.5,4.3,.578,0.0,0.0,,2.5,4.3,.578,.578,1.0,2.9,.356,3.0,5.4,8.3,0.4,1.1,2.0,0.8,2.4,6.0
37,28,Benoit Benjamin,C,34,PHI,213.4,113.5,6,0,5.5,0.3,1.2,.286,0.0,0.0,,0.3,1.2,.286,.286,0.0,0.0,,0.5,0.8,1.3,0.2,0.0,0.0,0.5,1.0,0.7
38,85,Bill Curley,PF,26,MIN,205.7,99.9,35,7,10.6,0.8,2.1,.403,0.0,0.1,.200,0.8,1.9,.418,.410,0.5,0.6,.864,0.6,0.9,1.5,0.4,0.5,0.3,0.3,2.4,2.2
39,407,Bill Wennington,C,35,CHI,213.4,111.2,38,3,11.9,1.6,4.7,.348,0.0,0.0,1.000,1.6,4.7,.345,.351,0.5,0.6,.818,0.5,1.6,2.1,0.5,0.3,0.3,0.4,2.1,3.8
40,293,Billy Owens,SF,29,SEA,203.2,99.9,21,19,21.5,3.1,7.9,.394,0.2,0.5,.455,2.9,7.3,.390,.409,1.3,1.7,.800,1.7,2.1,3.8,1.8,0.6,0.2,1.6,1.8,7.8
41,76,Bimbo Coles,PG,30,GSW,185.4,81.7,48,32,26.5,3.8,8.6,.442,0.1,0.5,.240,3.7,8.1,.455,.449,1.7,2.1,.822,0.4,2.0,2.4,4.6,0.9,0.2,1.7,2.4,9.5
42,101,Bison Dele,C,29,DET,210.8,106.7,49,48,24.0,4.4,8.8,.501,0.0,0.0,.000,4.4,8.8,.502,.501,1.7,2.4,.686,1.9,3.7,5.6,1.4,0.8,0.8,2.3,3.7,10.5
43,111,Blue Edwards,SF,33,MIA,193.0,90.8,24,0,11.8,1.3,3.0,.444,0.2,0.4,.400,1.2,2.6,.452,.472,0.4,0.5,.692,0.3,1.1,1.4,1.3,0.7,0.2,0.9,1.0,3.2
44,291,Bo Outlaw,PF,27,ORL,203.2,95.3,31,22,27.5,2.7,5.0,.545,0.0,0.1,.000,2.7,4.9,.556,.545,1.1,2.6,.432,1.7,3.6,5.4,1.8,1.3,1.4,1.9,2.5,6.5
45,380,Bob Sura,PG,25,CLE,195.6,90.8,50,6,16.8,1.4,4.2,.333,0.2,0.9,.200,1.2,3.3,.370,.355,1.3,2.1,.631,0.4,1.6,2.0,3.0,0.9,0.3,1.3,2.0,4.3
