Player,Age,Team,Pos,G,MP,FG,FGA,FG%,2P,2PA,2P%,eFG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Rick Barry,22,SFW,SF,78,40.7,13.0,28.7,.451,13.0,28.7,.451,.451,9.7,10.9,.884,9.2,3.6,3.3,35.6,"MVP-5,AS,NBA1"
Oscar Robertson,28,CIN,PG,79,43.9,10.6,21.5,.493,10.6,21.5,.493,.493,9.3,10.7,.873,6.2,10.7,2.9,30.5,"MVP-4,AS,NBA1"
Jerry West,28,LAL,PG,66,40.5,9.8,21.0,.464,9.8,21.0,.464,.464,9.1,10.4,.878,5.9,6.8,2.4,28.7,"AS,NBA1"
Elgin Baylor,32,LAL,SF,70,38.7,10.2,23.7,.429,10.2,23.7,.429,.429,6.3,7.7,.813,12.8,3.1,3.0,26.6,"AS,NBA1"
Wilt Chamberlain,30,PHI,C,81,45.5,9.7,14.2,.683,9.7,14.2,.683,.683,4.8,10.8,.441,24.2,7.8,1.8,24.1,"MVP-1,AS,NBA1"
Sam Jones,33,BOS,SG,72,32.3,8.9,19.5,.454,8.9,19.5,.454,.454,4.4,5.2,.857,4.7,3.0,2.7,22.1,NBA2
Hal Greer,30,PHI,SG,80,38.6,8.7,19.1,.459,8.7,19.1,.459,.459,4.6,5.8,.788,5.3,3.8,3.8,22.1,"AS,NBA2"
John Havlicek,26,BOS,SF,81,32.1,8.4,19.0,.444,8.4,19.0,.444,.444,4.5,5.4,.828,6.6,3.4,2.6,21.4,AS
Willis Reed,24,NYK,PF,78,36.2,8.1,16.6,.489,8.1,16.6,.489,.489,4.6,6.2,.735,14.6,1.6,3.8,20.9,"AS,NBA2"
Gus Johnson,28,BAL,SF,73,36.0,8.5,18.9,.450,8.5,18.9,.450,.450,3.7,5.2,.708,11.7,2.7,3.8,20.7,
Don Ohl,30,BAL,SG,58,34.9,7.8,17.3,.451,7.8,17.3,.451,.451,4.8,6.1,.780,3.3,2.9,2.6,20.3,AS
Bailey Howell,30,BOS,PF,81,30.9,7.9,15.3,.512,7.9,15.3,.512,.512,4.3,5.8,.741,8.4,1.3,3.7,20.0,AS
Dave Bing,23,DET,PG,80,34.5,8.3,19.0,.436,8.3,19.0,.436,.436,3.4,4.6,.738,4.5,4.1,2.7,20.0,ROY-1
Chet Walker,26,PHI,SF,81,33.2,6.9,14.2,.488,6.9,14.2,.488,.488,5.5,7.2,.766,8.1,2.3,2.9,19.3,AS
