Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
John Williamson,26,2TM,SG,75,,36.4,9.6,22.0,.438,9.6,22.0,.438,.438,4.4,5.2,.847,0.9,2.1,3.0,2.9,1.3,0.1,3.0,3.1,23.7,
John Williamson,26,IND,SG,42,,34.5,8.0,18.9,.421,8.0,18.9,.421,.421,3.2,3.8,.832,0.8,2.0,2.9,3.1,1.1,0.0,3.0,3.1,19.1,
John Williamson,26,NJN,SG,33,,38.8,11.8,25.9,.454,11.8,25.9,.454,.454,6.0,7.0,.857,1.0,2.3,3.2,2.5,1.4,0.3,3.1,3.2,29.5,
David Thompson,23,DEN,SG,80,,37.8,10.3,19.8,.521,10.3,19.8,.521,.521,6.5,8.4,.778,2.0,2.9,4.9,4.5,1.2,1.2,3.1,2.7,27.2,"MVP-3,AS,NBA1"
George Gervin,25,SAS,SG,82,,34.8,10.5,19.6,.536,10.5,19.6,.536,.536,6.1,7.4,.830,1.4,3.7,5.1,3.7,1.7,1.3,3.7,3.1,27.2,"MVP-2,AS,NBA1"
Pete Maravich,30,NOJ,SG,50,,40.8,11.1,25.1,.444,11.1,25.1,.444,.444,4.8,5.5,.870,1.0,2.6,3.6,6.7,2.0,0.2,5.0,2.3,27.0,"AS,NBA2"
Adrian Dantley,22,2TM,SF,79,,37.1,7.3,14.3,.512,7.3,14.3,.512,.512,6.8,8.6,.796,3.4,4.5,7.8,3.2,1.5,0.3,2.9,2.9,21.5,
Adrian Dantley,22,IND,SF,23,,41.2,8.7,17.5,.499,8.7,17.5,.499,.499,9.0,11.4,.787,4.1,5.3,9.4,2.8,2.1,0.7,2.9,3.3,26.5,
Adrian Dantley,22,LAL,SF,56,,35.4,6.7,12.9,.520,6.7,12.9,.520,.520,6.0,7.4,.801,3.1,4.2,7.2,3.4,1.3,0.1,2.9,2.8,19.4,
Bob McAdoo,26,NYK,C,79,,40.3,10.3,19.8,.520,10.3,19.8,.520,.520,5.9,8.2,.727,3.0,9.8,12.8,3.8,1.3,1.6,4.4,3.8,26.5,"MVP-10,AS"
