Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jayson Tatum,25,26,26,36.8,9.3,19.5,.476,3.0,8.6,.345,6.3,.579,.579,.552,5.2,6.6,.795,0.9,7.8,8.7,4.2,1.0,0.5,3.0,2.2,26.8
Jrue Holiday,33,24,24,34.5,4.8,10.7,.444,1.7,4.5,.383,3.0,.487,.487,.523,1.1,1.3,.839,1.6,5.0,6.6,4.5,0.9,0.9,2.0,1.9,12.3
Jaylen Brown,27,25,25,34.2,8.8,18.5,.476,2.2,6.6,.339,6.6,.552,.552,.537,2.7,3.6,.736,0.8,4.1,4.8,3.6,1.1,0.7,2.5,2.8,22.5
Derrick White,29,23,23,32.7,5.3,11.0,.478,2.7,6.4,.415,2.6,.566,.566,.599,2.8,3.2,.877,0.8,3.3,4.1,5.0,1.3,1.1,1.7,2.2,16.0
Kristaps Porziņģis,28,19,19,30.2,6.4,12.2,.524,1.7,5.1,.333,4.7,.659,.659,.593,4.5,5.4,.833,1.5,5.3,6.8,1.7,0.8,1.6,1.6,3.1,18.9
Al Horford,37,23,9,26.7,2.9,6.2,.472,1.4,3.8,.364,1.5,.648,.648,.585,0.4,0.4,1.000,1.7,5.4,7.1,2.8,0.4,1.0,1.0,1.7,7.7
Sam Hauser,26,26,2,22.5,3.1,6.8,.455,2.5,5.9,.431,0.5,.609,.609,.642,0.3,0.4,.800,0.9,2.5,3.5,1.0,0.6,0.3,0.5,1.5,9.0
Payton Pritchard,26,26,0,20.1,2.4,5.8,.411,1.4,3.8,.378,1.0,.472,.472,.533,0.4,0.6,.733,0.9,2.2,3.1,2.9,0.4,0.1,0.5,1.2,6.6
Neemias Queta,24,6,0,14.3,2.0,3.8,.522,0.0,0.0,,2.0,.522,.522,.522,0.7,0.8,.800,2.7,2.8,5.5,0.3,0.5,0.5,0.5,1.5,4.7
Luke Kornet,28,17,0,12.9,1.9,2.5,.744,0.0,0.0,,1.9,.744,.744,.744,0.6,0.7,.833,1.5,1.8,3.3,0.6,0.5,0.8,0.4,1.1,4.4
Oshae Brissett,25,12,0,9.4,0.8,2.0,.417,0.2,0.8,.200,0.7,.571,.571,.458,0.8,1.2,.643,0.8,1.3,2.0,0.3,0.4,0.0,0.3,1.1,2.6
Dalano Banton,24,12,1,7.8,1.2,2.4,.483,0.1,0.7,.125,1.1,.619,.619,.500,0.4,0.5,.833,0.8,1.3,2.1,0.4,0.2,0.2,0.4,1.0,2.8
Svi Mykhailiuk,26,10,0,6.7,0.6,1.9,.316,0.4,1.6,.250,0.2,.667,.667,.421,0.0,0.0,,0.1,0.4,0.5,0.1,0.3,0.0,0.4,0.4,1.6
Lamar Stevens,26,9,1,5.0,0.9,1.9,.471,0.2,0.7,.333,0.7,.545,.545,.529,0.3,0.4,.750,0.6,0.6,1.1,0.3,0.4,0.3,0.4,1.1,2.3
Tyrese Maxey,23,25,25,37.0,8.8,19.2,.460,3.2,8.1,.399,5.6,.505,.505,.545,4.8,5.4,.896,0.6,3.4,4.0,6.7,0.9,0.6,1.4,1.8,25.8
Joel Embiid,29,23,23,34.0,11.6,21.7,.534,1.1,3.3,.338,10.4,.570,.570,.560,10.2,11.4,.890,2.9,8.9,11.8,6.0,1.1,1.9,3.8,2.8,34.4
Tobias Harris,31,26,26,33.6,6.1,11.8,.516,1.0,3.0,.346,5.0,.575,.575,.560,3.1,3.4,.899,1.0,5.1,6.0,2.7,0.9,0.5,1.7,1.6,16.3
De'Anthony Melton,25,26,26,29.3,3.9,10.0,.394,2.1,5.7,.372,1.8,.423,.423,.500,1.9,2.4,.806,0.8,3.2,4.0,3.5,1.6,0.5,1.2,2.5,11.9
Kelly Oubre Jr.,28,15,5,25.2,5.1,10.6,.484,1.5,4.5,.343,3.6,.587,.587,.557,1.9,2.6,.744,1.2,3.1,4.3,0.7,1.1,0.3,0.7,2.3,13.7
Nicolas Batum,35,17,14,24.9,2.2,3.9,.561,1.4,2.9,.490,0.8,.765,.765,.742,0.4,0.6,.636,1.1,2.8,3.9,2.2,0.5,0.5,0.5,1.8,6.2
P.J. Tucker,38,3,3,22.0,0.7,1.7,.400,0.7,1.7,.400,0.0,,,.600,0.0,0.0,,0.3,4.3,4.7,0.0,1.0,0.7,0.7,3.0,2.0
Patrick Beverley,35,26,1,17.2,1.7,3.9,.422,0.6,2.0,.302,1.0,.551,.551,.500,0.7,1.0,.654,0.8,2.0,2.8,2.3,0.5,0.2,0.7,1.7,4.6
Robert Covington,33,22,3,16.5,1.6,3.6,.450,0.8,2.0,.386,0.9,.528,.528,.556,0.9,1.0,.909,1.2,2.4,3.6,0.6,1.2,0.7,0.5,1.8,5.0
Paul Reed,24,26,1,13.8,2.2,3.7,.577,0.2,0.4,.364,2.0,.605,.605,.598,0.4,0.5,.786,1.7,2.5,4.2,1.0,0.4,0.6,0.9,2.0,4.9
Marcus Morris,34,18,3,13.1,2.2,4.4,.506,1.1,1.9,.543,1.2,.477,.477,.627,0.3,0.3,1.000,0.4,2.2,2.6,0.7,0.3,0.4,0.3,1.6,5.8
Danuel House Jr.,30,15,0,11.3,1.4,3.1,.447,0.7,1.8,.407,0.7,.500,.500,.564,0.7,0.9,.786,0.5,0.9,1.3,0.9,0.3,0.1,0.6,0.8,4.3
Jaden Springer,21,15,0,11.1,1.5,3.9,.379,0.3,1.1,.294,1.1,.415,.415,.422,0.8,1.1,.750,0.9,0.8,1.7,1.1,0.7,0.5,1.0,1.7,4.1
Danny Green,36,2,0,9.0,0.0,1.0,.000,0.0,0.5,.000,0.0,.000,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0
Furkan Korkmaz,26,18,0,7.2,0.7,1.9,.353,0.3,1.1,.263,0.4,.467,.467,.426,0.4,0.5,.778,0.1,0.4,0.5,0.6,0.6,0.0,0.4,0.5,2.0
Mo Bamba,25,14,0,6.4,1.4,2.6,.541,0.4,0.7,.500,1.1,.556,.556,.608,0.6,0.8,.727,1.2,1.3,2.5,0.3,0.1,0.7,0.5,0.9,3.8
KJ Martin,23,13,0,5.7,0.6,1.3,.471,0.0,0.1,.000,0.6,.500,.500,.471,0.2,0.3,.500,0.3,0.7,1.0,0.6,0.5,0.0,0.2,1.0,1.4
Filip Petrušev,23,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Davis,30,25,25,35.2,9.2,16.7,.549,0.3,0.8,.368,8.9,.558,.558,.558,5.6,6.9,.820,3.5,9.0,12.6,3.0,1.1,2.6,2.0,2.6,24.2
LeBron James,39,25,25,34.0,9.4,17.4,.539,2.3,5.8,.393,7.1,.612,.612,.604,4.1,5.8,.715,1.0,6.7,7.6,7.2,1.5,0.6,3.3,1.1,25.2
Taurean Prince,29,25,25,30.5,3.5,8.2,.429,1.9,5.2,.369,1.6,.533,.533,.546,0.6,0.8,.700,0.3,2.3,2.6,1.7,0.8,0.4,0.9,2.0,9.5
D'Angelo Russell,27,26,26,30.0,6.0,12.7,.473,2.1,5.4,.393,3.9,.532,.532,.556,1.7,2.2,.768,0.3,2.8,3.2,6.3,0.8,0.5,1.8,2.1,15.8
Austin Reaves,25,27,9,29.6,5.1,11.0,.468,1.7,4.7,.362,3.4,.547,.547,.545,3.0,3.4,.870,0.9,3.8,4.7,5.0,0.9,0.1,2.4,1.4,15.0
Gabe Vincent,27,4,0,28.3,2.8,7.0,.393,0.3,3.5,.071,2.5,.714,.714,.411,0.3,0.5,.500,0.5,0.5,1.0,3.0,1.5,0.0,0.5,2.5,6.0
