,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Keldon Johnson,24,30,26,32.5,6.4,13.9,.464,1.9,5.6,.345,4.5,8.3,.544,.534,2.8,3.7,.757,1.3,4.9,6.3,3.9,0.9,0.2,1.7,2.5,17.6
1,Devin Vassell,23,27,21,30.2,6.7,14.5,.463,2.6,7.1,.365,4.1,7.4,.558,.552,2.3,2.9,.818,0.4,3.0,3.4,3.0,1.2,0.2,1.3,1.1,18.3
2,Victor Wembanyama,20,28,28,29.5,7.0,15.8,.442,1.4,4.9,.290,5.6,10.9,.511,.488,3.4,4.3,.793,2.2,8.1,10.3,3.0,1.3,3.1,3.3,2.3,18.9
3,Jeremy Sochan,20,32,31,29.1,4.2,9.8,.433,0.9,2.4,.372,3.3,7.3,.453,.479,1.5,2.0,.762,1.5,4.0,5.6,4.1,0.6,0.3,2.1,2.6,10.8
4,Zach Collins,26,31,23,26.1,4.9,10.0,.495,1.1,3.5,.312,3.8,6.5,.595,.550,2.0,2.5,.792,1.9,4.1,6.0,3.3,0.6,0.8,2.3,3.4,12.9
5,Tre Jones,24,28,0,23.4,3.3,7.0,.469,0.5,2.1,.237,2.8,4.9,.569,.505,1.1,1.3,.838,0.7,2.1,2.8,4.9,0.8,0.1,1.4,1.2,8.2
6,Malaki Branham,20,32,20,22.8,3.8,8.5,.441,1.1,3.3,.318,2.7,5.2,.521,.504,0.6,0.7,.905,0.3,1.8,2.2,2.5,0.4,0.1,1.3,1.4,9.2
7,Cedi Osman,28,32,1,18.3,2.8,6.1,.464,1.2,3.2,.359,1.7,2.9,.581,.559,0.7,1.1,.676,0.3,1.9,2.3,1.8,0.4,0.2,0.6,1.5,7.6
8,Doug McDermott,32,30,0,15.9,2.0,4.6,.442,1.6,3.6,.450,0.4,1.0,.414,.620,0.3,0.4,.667,0.1,0.9,1.0,1.4,0.3,0.1,0.6,1.2,6.0
9,Julian Champagnie,22,25,10,13.8,1.8,4.4,.409,1.3,3.3,.402,0.5,1.1,.429,.559,0.6,0.8,.800,0.4,1.4,1.8,0.8,0.5,0.6,0.7,1.0,5.6
10,Charles Bassey,23,19,0,10.8,1.5,2.1,.725,0.0,0.1,.000,1.5,2.1,.744,.725,0.3,0.3,.833,1.2,2.8,4.0,1.1,0.4,0.9,0.8,1.6,3.3
11,Devonte' Graham,28,7,0,9.7,1.0,2.7,.368,0.6,1.7,.333,0.4,1.0,.429,.474,0.9,1.1,.750,0.3,1.1,1.4,2.4,0.3,0.1,0.4,0.4,3.4
12,Sandro Mamukelashvili,24,17,0,7.7,1.0,2.6,.386,0.4,1.5,.240,0.6,1.1,.579,.455,0.6,0.7,.833,0.7,1.5,2.2,1.3,0.2,0.2,0.4,0.8,2.9
13,Dominick Barlow,20,10,0,7.2,0.7,2.1,.333,0.1,0.4,.250,0.6,1.7,.353,.357,0.5,0.8,.625,0.3,1.2,1.5,0.1,0.4,0.0,0.0,0.8,2.0
14,Sidy Cissoko,19,5,0,6.4,0.2,1.2,.167,0.0,0.8,.000,0.2,0.4,.500,.167,0.8,0.8,1.000,0.0,1.2,1.2,0.0,0.6,0.0,0.2,0.4,1.2
